A.S. Advertisement Pass,Location_Type,VENUE,AWARDED,Attendance_Ratio,DATE,Event_Type,Day_of_Week
-,Library Walk,Library Walk,2501.55,0.6195999999999999,2024-11-22,Social,Friday
-,Price Center,Bear Room,253.85,1.1818,2024-11-22,Social,Friday
-,SunGod,Sun God Lawn,1076.62,0.2508,2024-11-22,Social,Friday
-,Warren,CSE B225,201.91,0.04949999999999999,2024-11-22,Workshop,Friday
-,Price Center,Cross Cultural Center - Community Room,484.88,1.1343,2024-11-22,Social,Friday
-,Price Center,Warren College Room,172.97,0.0,2024-11-23,Social,Saturday
-,Theater District,Molli and Arthur Dance Building Studio 3,100.0,2.4,2024-11-23,Social,Saturday
-,Price Center,Price Center Ballroom East,422.38,0.0,2024-11-23,Social,Saturday
-,Warren,CSE Basement,987.64,0.0,2024-11-24,Social,Sunday
-,Price Center,Price Center Theater,482.5,1.6995,2024-11-24,Social,Sunday
-,Pepper Canyon,ASML Room,650.0,1.1385,2024-11-25,GBM,Monday
-,Price Center,Marshall College Room,400.0,0.0,2024-11-25,Workshop,Monday
-,Pepper Canyon,ASML Room,401.58,0.07469999999999999,2024-11-26,Speaker,Tuesday
-,Pepper Canyon,ASML Room,400.0,0.17500000000000004,2024-11-26,GBM,Tuesday
-,Pepper Canyon,SME 248 ASML Conference Center,510.74,0.9398,2024-11-26,Social,Tuesday
-,Warren,CSE 1202,404.67,1.5568,2024-11-26,Recruitment,Tuesday
-,Price Center,Warren College Room,388.98,0.6684000000000001,2024-11-26,GBM,Tuesday
-,Price Center,Price Center - Red Shoe Room,301.67,0.6960999999999999,2024-11-27,Social,Wednesday
-,Price Center,Price Center Ballroom East,340.0,1.1764999999999999,2024-12-02,Social,Monday
-,Warren,Qualcomm Room,280.0,0.4286,2024-12-02,Workshop,Monday
-,Mandeville Auditorium,LGBT Resource Center,97.99,1.3267,2024-12-02,Social,Monday
-,North Campus,ASANTE 123AD,226.29,1.0164,2024-12-02,GBM,Monday
-,Price Center,Price Center - Red Shoe Room,128.83,0.0,2024-12-02,Social,Monday
-,Price Center,Ballroom West B,641.03,1.6536,2024-12-02,Social,Monday
-,Price Center,Warren College Room,235.35,0.0,2024-12-03,Social,Tuesday
-,Price Center,Price Center Ballroom AB,490.26,0.8771,2024-12-03,Recruitment,Tuesday
-,Pepper Canyon,Envision,300.0,1.1667,2024-12-04,Social,Wednesday
-,Revelle,Natural Science Building,451.0,0.51,2024-12-04,GBM,Wednesday
-,Price Center,Price Center Ballroom East,240.0,9.0,2024-12-04,Recruitment,Wednesday
-,Pepper Canyon,ASML Room,281.19,0.5334000000000001,2024-12-04,Social,Wednesday
-,Price Center,Bear Room,200.0,0.050000000000000044,2024-12-04,Social,Wednesday
-,Price Center,Price Center Red Shoe Room,390.0,1.0769,2024-12-04,Social,Wednesday
-,Pepper Canyon,Cross Cultural Center - Art Space,258.6,1.0828,2024-12-04,Social,Wednesday
-,Price Center,Eleanor Roosevelt College Room,264.94,0.9059,2024-12-05,Competition,Thursday
-,Revelle,NSB Auditorium,163.18,0.8579,2024-12-05,GBM,Thursday
,Price Center,Bear Room,384.0,0.8332999999999999,2024-12-05,Social,Thursday
,Mandeville Auditorium,Mandeville East Room,449.48,0.7342,2024-12-05,Social,Thursday
,Mandeville Auditorium,Student Center Huerta- Vera Cruz,559.23,0.5006999999999999,2024-12-05,Religion,Thursday
,Price Center,Price Center Theater,450.0,0.0,2024-12-05,Social,Thursday
,Warren,Qualcomm Conference Center,53.75,4.2791,2024-12-05,Social,Thursday
,Price Center,Warren College Room,396.77,0.5797,2024-12-05,Social,Thursday
,Price Center,Price Center Theater,525.0,0.7048,2024-12-06,Social,Friday
,Pepper Canyon,SME 347,195.0,0.10260000000000002,2024-12-06,Social,Friday
,Price Center,Bear Room,351.24,0.6548,2024-12-06,GBM,Friday
,Price Center,Warren College Room - Price,246.75,0.9726,2024-12-06,Social,Friday
,Muir,Playing Fields(MUIR FIELD),346.42,0.7217,2024-12-07,Social,Saturday
,Price Center,Price Center Theater,500.0,0.0,2024-12-08,Social,Sunday
Not Found,Price Center,Red Shoe Room,500.0,0.0,2025-01-03,Religion,Friday
Not Found,Price Center,Price Center - Red Shoe Room,350.0,1.4285999999999999,2025-01-06,Religion,Monday
Not Found,Price Center,PC Ballroom East,1483.03,0.0,2025-01-06,GBM,Monday
No,Price Center,Price Center Ballroom B,641.03,2.0436,2025-01-06,Social,Monday
Not Found,Mandeville Auditorium,Student Center - Dolores Huerta - Philip Vera Cruz Room,400.0,0.7,2025-01-07,GBM,Tuesday
No,Warren,"Warren Mall [1, 2, 3]",4000.0,0.5700000000000001,2025-01-07,Social,Tuesday
Yes,Price Center,Eleanor Roosevelt College Room,37.66,5.3107,2025-01-07,Competition,Tuesday
Yes,Price Center,Price Center Theater,182.4,0.16449999999999998,2025-01-08,GBM,Wednesday
Yes,Pepper Canyon,EnVision,300.0,0.7667,2025-01-08,GBM,Wednesday
No,Price Center,Price Center Red Shoe Room,,,2025-01-08,GBM,Wednesday
Not Found,Mandeville Auditorium,MPR,565.35,0.0,2025-01-08,Social,Wednesday
Yes,Warren,CSE1202,774.52,0.4132,2025-01-08,GBM,Wednesday
Yes,Price Center,Price Center ERC Room,210.0,1.1429,2025-01-08,Social,Wednesday
Yes,Price Center,PC East Ballroom,1038.23,2.3116,2025-01-08,GBM,Wednesday
Yes,Pepper Canyon,SME 248,189.61,1.3185,2025-01-09,Social,Thursday
Not Found,Mandeville Auditorium,Student Center: Dolores Huerta / Philip Vera Cruz Meeting Room,273.47,0.0,2025-01-09,GBM,Thursday
Not Found,Price Center,Red Shoe Room,398.88,0.3259000000000001,2025-01-09,Social,Thursday
Yes,Price Center,Price Center - Bear Room,323.84,0.6793,2025-01-09,GBM,Thursday
Yes,Warren,Fung auditorium,371.8,1.9903,2025-01-09,GBM,Thursday
No,Price Center,Price Center - Eleanor Roosevelt College Room,500.0,0.4,2025-01-09,Competition,Thursday
Yes,Price Center,Price Center East Ballroom,600.0,0.7667,2025-01-09,GBM,Thursday
Not Found,Warren,Qualcomm Room,259.57,1.6181,2025-01-09,Recruitment,Thursday
Yes,Price Center,Price Center Bear Room,210.0,1.3333,2025-01-10,GBM,Friday
Yes,Price Center,"UCSD Game Room, Price Center",210.65,0.7596,2025-01-10,Social,Friday
Yes,Price Center,Price Center Forum,149.54,1.6718000000000002,2025-01-10,Social,Friday
Yes,Warren,Qualcomm Conference Center,386.3,0.5953999999999999,2025-01-10,GBM,Friday
Yes,Pepper Canyon,Design and Innovation Building Room 208,319.76,4.1906,2025-01-10,GBM,Friday
No,Wong-Avery,UCSD School of Medicine Campus MET Lower Auditorium,912.32,0.0,2025-01-12,GBM,Sunday
No,Mandeville Auditorium,Student Services Center Multi-Purpose Room,120.0,0.0,2025-01-13,Recruitment,Monday
Yes,Price Center,PC Theater,333.13,3.5422,2025-01-13,GBM,Monday
Yes,Pepper Canyon,SME 248,344.8,1.0151,2025-01-13,GBM,Monday
Not Found,Warren,CSE Room 1202,299.55,2.003,2025-01-13,GBM,Monday
Yes,Price Center,Marshall College Room,196.43,0.8145,2025-01-13,GBM,Monday
No,Price Center,Price Center ERC Room,,,2025-01-14,GBM,Tuesday
Yes,Warren,Qualcomm Conference Center,510.74,0.48950000000000005,2025-01-14,GBM,Tuesday
Yes,Warren,Henry Booker Room,537.94,0.7807999999999999,2025-01-14,GBM,Tuesday
No,Price Center,The Forum,393.29,0.9408,2025-01-14,Speaker,Tuesday
No,Mandeville Auditorium,Student Services Center Multi Purpose Room,210.0,0.0,2025-01-14,Recruitment,Tuesday
Yes,Warren,Warren Mall,232.07,0.5171,2025-01-14,Social,Tuesday
No,Price Center,Price Center Marshall Room,412.96,1.8404,2025-01-14,GBM,Tuesday
No,Pepper Canyon,SME 248,182.5,2.3014,2025-01-14,GBM,Tuesday
No,Pepper Canyon,SME 248,182.5,2.3014,2025-01-14,GBM,Tuesday
Yes,Price Center,PC West Green Table Room,216.58,1.9854,2025-01-15,GBM,Wednesday
Yes,Price Center,Price Center ERC Room,93.22,2.2527,2025-01-15,GBM,Wednesday
No,Price Center,Price Center - Warren College Room,279.0,0.0,2025-01-15,GBM,Wednesday
Not Found,Revelle,Bonner Hall 2130,74.75,0.0,2025-01-15,GBM,Wednesday
Not Found,Pepper Canyon,EnVision,300.0,2.0,2025-01-15,Recruitment,Wednesday
Not Found,Warren,B225,347.49,0.0,2025-01-15,Workshop,Wednesday
No,Price Center,Price Center – Ballroom | West B,297.35,0.0,2025-01-15,GBM,Wednesday
No,Pepper Canyon,ASML Room,239.41,0.0,2025-01-16,Social,Thursday
Yes,Price Center,Price Center Bear Room,495.65,0.2623000000000001,2025-01-16,GBM,Thursday
Yes,Price Center,Warren College Room,400.0,0.7,2025-01-16,Workshop,Thursday
Not Found,Warren,B225,347.49,0.40290000000000004,2025-01-16,Workshop,Thursday
Not Found,Price Center,UCSD PC Gameroom,312.41,0.7362,2025-01-16,Social,Thursday
No,Price Center,Price Center Green Table Room,439.44,0.5689,2025-01-17,GBM,Friday
Yes,Mandeville Auditorium,The Stageroom,1500.0,0.6799999999999999,2025-01-17,Workshop,Friday
Yes,Price Center,Price Center Red Shoe Room & Bear Room,438.37,2.2356,2025-01-17,GBM,Friday
Yes,Muir,Kavli Auditorium,1668.75,0.39549999999999996,2025-01-17,GBM,Friday
Yes,Price Center,Price Center West Ballroom AB,1606.89,1.1949,2025-01-17,Workshop,Friday
Yes,Price Center,Price Center - Forum,326.96,1.7433,2025-01-17,GBM,Friday
Not Found,Warren,EBU 1 Qualcomm Room,193.95,1.2374,2025-01-17,Workshop,Friday
No,Price Center,ERC Room,591.69,0.9971,2025-01-17,GBM,Friday
Yes,Pepper Canyon,SME 248,179.94,0.778,2025-01-17,Recruitment,Friday
Yes,Price Center,Bear Room and Red Shoe Room,201.92,0.0,2025-01-18,Speaker,Saturday
Not Found,Price Center,Price Center Ballroom West B,1434.75,0.8085,2025-01-18,Competition,Saturday
Yes,Price Center,Price Center East Ballroom,554.33,4.0229,2025-01-18,GBM,Saturday
Not Found,Warren,Qualcomm Conference Room,599.0,0.4174,2025-01-20,Recruitment,Monday
No,Pepper Canyon,SME ASML Room,193.95,0.0,2025-01-20,Workshop,Monday
Not Found,Pepper Canyon,SME ASML Room,299.55,0.0,2025-01-20,Workshop,Monday
No,Pepper Canyon,ASML Room,231.21,1.0813,2025-01-21,Social,Tuesday
Yes,Price Center,Price Center ERC Room,93.22,1.6091,2025-01-21,GBM,Tuesday
Yes,Pepper Canyon,SME 248,569.2,0.6676,2025-01-21,Recruitment,Tuesday
Not Found,Pepper Canyon,SME ASML Room,259.57,0.3081999999999999,2025-01-21,Recruitment,Tuesday
Yes,Pepper Canyon,SME 348,173.59,1.1521,2025-01-21,Speaker,Tuesday
Yes,Price Center,Price Center - Marshall College Room,156.7,1.8506999999999998,2025-01-21,Social,Tuesday
Yes,Price Center,Price Center Bear Room,296.31,0.5737,2025-01-21,GBM,Tuesday
Yes,Warren,"Henry Booker Room, Jacobs Hall",400.0,0.675,2025-01-21,Recruitment,Tuesday
Not Found,Mandeville Auditorium,Multipurpose Room,120.0,0.0,2025-01-21,GBM,Tuesday
Not Found,Pepper Canyon,EnVision,300.0,1.3333,2025-01-22,Recruitment,Wednesday
No,Price Center,Price Center ERC Room,86.0,2.3256,2025-01-22,Workshop,Wednesday
Yes,Wong-Avery,Campus reservations,273.07,0.6592,2025-01-22,Speaker,Wednesday
Yes,Price Center,Price Center Green Table Room,178.5,0.8964,2025-01-22,Workshop,Wednesday
Yes,Price Center,Price Center - Bear Room,344.8,0.7831,2025-01-22,Religion,Wednesday
No,Price Center,Red Shoe Room,80.0,1.875,2025-01-22,GBM,Wednesday
Yes,Pepper Canyon,SME 248,215.5,1.4849,2025-01-22,GBM,Wednesday
Not Found,Warren,Zweifach Library - PFBH,210.98,0.0,2025-01-22,Social,Wednesday
Yes,Warren,Fung Auditorium at the Powell-Focht Bioengineering Hall,112.23,2.9404,2025-01-22,GBM,Wednesday
Not Found,Price Center,Marshall College Room,,1.0,2025-01-23,Speaker,Thursday
Yes,Price Center,PC West Green Table Room,200.0,0.95,2025-01-23,Social,Thursday
Not Found,Price Center,Marshall College Room,248.9,1.0446,2025-01-23,GBM,Thursday
Yes,Warren,Jacobs Hall 2315,105.06,1.3326,2025-01-23,Workshop,Thursday
Yes,Warren,Henry Booker Room,285.0,0.6315999999999999,2025-01-23,Competition,Thursday
No,Price Center,Price Center Marshall Room,189.05,2.2744999999999997,2025-01-24,GBM,Friday
Not Found,Pepper Canyon,SME 248 ASML Conference Center,288.0,0.7292000000000001,2025-01-24,GBM,Friday
Not Found,Price Center,Price Center Red Shoe Room,349.5,0.5722,2025-01-24,GBM,Friday
Not Found,Student Services Center,Town Square,3647.41,0.5593,2025-01-24,Recruitment,Friday
No,Sixth,Urban Studies and Planning Studio (RWAC 0104),250.0,1.04,2025-01-24,GBM,Friday
Yes,Warren,Henry Booker Room,505.89,0.33599999999999997,2025-01-24,Speaker,Friday
No,Warren,Henry Booker Room,189.53,0.7914,2025-01-24,Workshop,Friday
Yes,Warren,"Henry Booker Room, Jacobs Hall",700.0,0.5286,2025-01-25,Recruitment,Saturday
Not Found,Pepper Canyon,ASML Room,134.69,1.2622,2025-01-27,Workshop,Monday
No,North Campus,ASANTE 123D,216.58,0.0,2025-01-27,GBM,Monday
Yes,Warren,"Henry Booker Room, Jacobs Hall",400.0,0.5,2025-01-27,Recruitment,Monday
Yes,Price Center,PC West Ballroom AB,1412.5,0.09909999999999997,2025-01-27,Religion,Monday
Yes,Revelle,NSB Auditorium,250.0,0.28,2025-01-27,GBM,Monday
Not Found,Warren,Henry Booker Room,198.17,0.8074,2025-01-27,Speaker,Monday
No,Price Center,Price Center Theather,659.26,0.9708,2025-01-27,Competition,Monday
Not Found,Price Center,Marshall College Room,376.4,0.0,2025-01-27,Social,Monday
Not Found,Price Center,Green Table Room PC,300.0,0.0,2025-01-27,Competition,Monday
No,Price Center,Price Center - Red Shoe Room,500.0,0.0,2025-01-28,GBM,Tuesday
No,Price Center,Price Center ERC Room,216.58,0.7848999999999999,2025-01-28,GBM,Tuesday
Yes,Price Center,Marshall College Room,237.02,1.1813,2025-01-28,Workshop,Tuesday
No,Pepper Canyon,SME 248,178.81,1.4541,2025-01-28,Workshop,Tuesday
Not Found,Pepper Canyon,EnVision,300.0,1.0667,2025-01-29,Recruitment,Wednesday
No,Warren,Henry Booker,100.18,0.9982,2025-01-29,Workshop,Wednesday
Not Found,Pepper Canyon,ASML Room,549.53,0.8007,2025-01-29,Religion,Wednesday
Yes,Price Center,Price Center Marshall Room,305.47,1.6040999999999999,2025-01-29,Religion,Wednesday
Yes,Price Center,Price Center Bear Room,510.0,0.6667000000000001,2025-01-29,Social,Wednesday
Yes,Pepper Canyon,ASML Room,147.84,1.7587000000000002,2025-01-29,Workshop,Wednesday
Yes,Warren,B225,215.39,0.6964,2025-01-29,Workshop,Wednesday
Not Found,Pepper Canyon,SME ASML Room,134.69,0.0,2025-01-30,Workshop,Thursday
Yes,Price Center,PC Forum,382.51,0.6536,2025-01-30,Speaker,Thursday
No,Price Center,Price Center - Sixth College Room,59.54,0.0,2025-01-30,Workshop,Thursday
Yes,Price Center,Bear Room,300.0,0.4,2025-01-30,Recruitment,Thursday
Yes,Warren,Warren Mall,263.72,0.5309,2025-01-30,Social,Thursday
Not Found,Price Center,Marshall College Room,376.4,0.0,2025-01-30,Social,Thursday
Yes,Revelle,NSB atrium,,,2025-01-31,GBM,Friday
Yes,Warren,Qualcomm Conference Room,552.27,1.1045,2025-01-31,Workshop,Friday
Yes,Price Center,Bear Room,297.27,1.3456000000000001,2025-01-31,Workshop,Friday
Not Found,Price Center,PC East Ballroom,,,2025-02-01,Workshop,Saturday
Not Found,Price Center,Price Center Dance Studio,280.53,0.0,2025-02-01,Social,Saturday
Yes,Price Center,Price Center Ball Room B,3518.75,0.13069999999999993,2025-02-01,Religion,Saturday
Yes,Warren,Jacobs School of Engineering Classroom 2315,584.1,0.18830000000000002,2025-02-01,Competition,Saturday
Not Found,Mandeville Auditorium,"Dolores Huerta - Philip Vera Cruz Room, Student Center",157.56,6.9815,2025-02-01,Social,Saturday
No,Warren,Henry Booker Room,862.0,0.05799999999999994,2025-02-01,Competition,Saturday
No,Warren,Qualcomm Conference Center and Classroom 2509,1163.27,0.30090000000000006,2025-02-01,Competition,Saturday
No,Scripps,Vaughn 100,78.18,0.0,2025-02-03,GBM,Monday
Yes,Price Center,Price Center West Ballroom B,742.24,1.8592,2025-02-03,Social,Monday
Not Found,Warren,Fishbowl (CSE B225),134.69,0.0,2025-02-03,Workshop,Monday
Yes,Price Center,Price Center Forum,366.36,1.0918,2025-02-03,Social,Monday
Yes,Warren,Qualcomm Conference Center,510.74,0.6461,2025-02-04,GBM,Tuesday
Not Found,Warren,Henry Booker Room,216.58,1.8007,2025-02-04,GBM,Tuesday
No,Warren,PFBH 489 (Zweifach Library),261.59,0.9939,2025-02-04,Social,Tuesday
Yes,Pepper Canyon,ASML Room,273.79,0.40180000000000005,2025-02-04,Social,Tuesday
Not Found,Pepper Canyon,EnVision,300.0,1.2667,2025-02-05,Recruitment,Wednesday
Yes,Mandeville Auditorium,LGBT Resource Center,161.37,1.2394,2025-02-05,GBM,Wednesday
No,Price Center,Price Center Red Shoe Room,400.0,0.75,2025-02-05,Religion,Wednesday
Yes,Price Center,Marshall College Room,242.5,0.7010000000000001,2025-02-05,Social,Wednesday
Not Found,Mandeville Auditorium,Dolores Huerta - Philip Vera Cruz Room,559.95,0.7142999999999999,2025-02-05,Religion,Wednesday
Not Found,Mandeville Auditorium,Multipurpose Room,700.0,0.0,2025-02-05,Social,Wednesday
Not Found,Warren,Fishbowl (CSE B225),134.69,1.6334,2025-02-05,Workshop,Wednesday
Yes,Pepper Canyon,SME 248,597.59,0.6694,2025-02-06,Recruitment,Thursday
Yes,Warren,Fung Auditorium at Powell-Focht Bioengineering Hall,182.4,2.1382,2025-02-06,GBM,Thursday
Not Found,Price Center,PC Ballroom East,1293.59,0.7035,2025-02-06,GBM,Thursday
Not Found,Price Center,Price Center Bear Room,280.0,0.0,2025-02-06,Workshop,Thursday
Not Found,Warren,Fishbowl (CSE B225),134.69,0.6682,2025-02-06,Workshop,Thursday
No,Mandeville Auditorium,Huerta- Vera Cruz,441.78,0.0,2025-02-07,Religion,Friday
No,Pepper Canyon,Cross Cultural Center Art Space,293.31,0.6136999999999999,2025-02-07,Social,Friday
Not Found,Warren,Fishbowl (CSE B225),134.69,0.6682,2025-02-07,Social,Friday
Not Found,Price Center,PC Theater,800.0,0.0,2025-02-08,Workshop,Saturday
Not Found,Warren,Henry Booker Room,274.0,0.0,2025-02-08,Workshop,Saturday
Yes,Mandeville Auditorium,Mandeville Auditorium,5000.0,0.0,2025-02-09,Religion,Sunday
Yes,Revelle,NSB Auditorium,,1.0,2025-02-10,GBM,Monday
Not Found,Library Walk,Library Walk,343.83,0.6399,2025-02-10,Religion,Monday
Not Found,Revelle,Pac Hall 3500,65.0,1.5385,2025-02-10,GBM,Monday
No,Mandeville Auditorium,Multi-Purpose Room Student Services Center,1528.58,0.2551000000000001,2025-02-10,Social,Monday
Not Found,Pepper Canyon,Cross Cultural Center - Community Room,216.58,1.2467000000000001,2025-02-10,GBM,Monday
,Pepper Canyon,ASML Room,243.4,0.6163000000000001,2025-02-10,Social,Monday
Not Found,Price Center,Earl Warren Room,19.9,3.0151,2025-02-10,Speaker,Monday
Not Found,Price Center,Governance Chamber,150.86,0.6629,2025-02-10,GBM,Monday
Yes,Student Services Center,Student Services Center - Conference Room 300,173.48,0.8069999999999999,2025-02-10,GBM,Monday
No,Price Center,Price Center Bear Room,216.58,0.8773,2025-02-11,GBM,Tuesday
Not Found,Mandeville Auditorium,LGBT Resource Center,172.45,0.05799999999999994,2025-02-11,Social,Tuesday
Not Found,Library Walk,Library Walk,263.41,1.2528000000000001,2025-02-11,Religion,Tuesday
No,Price Center,Green Table Room,247.4,0.20209999999999995,2025-02-11,Social,Tuesday
Not Found,Mandeville Auditorium,Student Center Stage Room,384.5,0.44210000000000005,2025-02-11,Speaker,Tuesday
Not Found,Warren,CSE 1202,233.19,0.04290000000000005,2025-02-11,Workshop,Tuesday
,Warren,B225,330.0,0.9697,2025-02-11,Competition,Tuesday
No,Price Center,PC Theater,1999.85,0.31000000000000005,2025-02-11,Social,Tuesday
Yes,Pepper Canyon,SME 248,140.0,2.0713999999999997,2025-02-11,Social,Tuesday
Not Found,Pepper Canyon,EnVision,300.0,0.9333,2025-02-12,Recruitment,Wednesday
Yes,Pepper Canyon,MAVERiC Studio (room 436 in Design and Innovation Building),181.46,1.2124,2025-02-12,Social,Wednesday
No,Mandeville Auditorium,Multi-Purpose Room Student Services Center,1481.94,0.45210000000000006,2025-02-12,Social,Wednesday
Yes,Revelle,Bonner Hall 2140,132.3,0.0,2025-02-12,Social,Wednesday
Not Found,Library Walk,Library Walk,263.41,0.7593,2025-02-12,Religion,Wednesday
Not Found,Price Center,Price Center Red Shoe Room,95.6,0.0,2025-02-12,Workshop,Wednesday
No,Price Center,Price Center - Eleanor Roosevelt College Room,344.58,0.4353,2025-02-12,GBM,Wednesday
Yes,Price Center,Green Table Room,200.0,0.5,2025-02-12,Social,Wednesday
Not Found,North Campus,Otterson Hall 1S114,296.31,0.7087,2025-02-12,GBM,Wednesday
Yes,Pepper Canyon,ASML Room,474.1,1.0335,2025-02-12,GBM,Wednesday
Yes,Pepper Canyon,Cross Cultural Center - Art Space,178.2,0.8418,2025-02-12,Workshop,Wednesday
Yes,Price Center,PC Theater,467.97,0.8975,2025-02-12,GBM,Wednesday
Yes,Price Center,Red shoe Room,598.05,0.3679,2025-02-13,Speaker,Thursday
Yes,Price Center,Price Center Warren Room,198.16,0.9588,2025-02-13,Social,Thursday
No,North Campus,Triton Esports Center,203.07,5.4661,2025-02-13,Social,Thursday
No,Price Center,Price Center (ERC Room),101.66,0.09840000000000004,2025-02-13,Social,Thursday
No,Price Center,"Price Center, Governance Chambers",100.0,0.0,2025-02-13,GBM,Thursday
No,Price Center,Price Center - Green Table Room,70.0,2.5713999999999997,2025-02-13,Speaker,Thursday
No,Price Center,Price Center Green Table Room,500.85,0.9384,2025-02-13,Social,Thursday
Not Found,Library Walk,Library Walk,404.5,0.8653,2025-02-13,GBM,Thursday
No,Mandeville Auditorium,Multi-Purpose Room Student Services Center,1529.86,0.3791,2025-02-13,Social,Thursday
Not Found,Price Center,Bear Room,147.5,1.9661,2025-02-14,Social,Friday
Yes,Warren,ECE Makerspace,164.76,0.9711,2025-02-14,Workshop,Friday
No,Warren,EBU2 classrooms,86.09,3.1363,2025-02-15,Workshop,Saturday
Not Found,SunGod,Sun God Lawn,397.32,0.5789,2025-02-15,Social,Saturday
Yes,Price Center,Price Center,10402.7,0.9853,2025-02-15,Social,Saturday
Not Found,Off Campus,Mesa Nueva - CA-A192B Large Conference Room,143.85,0.139,2025-02-17,Workshop,Monday
Not Found,Price Center,Price Center (ERC Room),200.0,0.8,2025-02-18,GBM,Tuesday
Yes,Warren,B225,215.39,1.8107,2025-02-18,Workshop,Tuesday
Yes,Mandeville Auditorium,Multipurpose Room,120.0,0.0,2025-02-18,GBM,Tuesday
No,Revelle,NSB Atrium/Auditorium,279.98,0.0,2025-02-18,Speaker,Tuesday
Not Found,Price Center,Price Center Warren Room,251.85,0.35739999999999994,2025-02-18,Speaker,Tuesday
,Price Center,ERC Room - Price Center,200.0,0.0,2025-02-18,GBM,Tuesday
,Price Center,Governance Chambers,289.99,0.0,2025-02-18,Social,Tuesday
,Warren,Henry Booker Room,232.63,0.42990000000000006,2025-02-18,Speaker,Tuesday
,Warren,Qualcomm Conference Room,366.35,0.0,2025-02-18,Social,Tuesday
,Price Center,Price Center West Ballroom AB,2000.0,,2025-02-19,Social,Wednesday
,Revelle,NSB atrium,397.64,,2025-02-19,Social,Wednesday
,Pepper Canyon,EnVision,300.0,,2025-02-19,Recruitment,Wednesday
,Price Center,Red Shoe Room,32.61,,2025-02-19,Workshop,Wednesday
,North Campus,Otterson Hall 1S114,393.29,,2025-02-19,GBM,Wednesday
,Price Center,Price Center - Marshall College Room,103.09,,2025-02-20,GBM,Thursday
,Price Center,Price Center - Warren College Room,208.3,,2025-02-20,Speaker,Thursday
,Price Center,Bear Room,105.46,,2025-02-20,Workshop,Thursday
,Student Services Center,Student Services Center - Conference Room 300,171.32,,2025-02-20,GBM,Thursday
,Price Center,PC Forum,797.8,,2025-02-20,Speaker,Thursday
,Warren,Qualcomm Room,592.63,,2025-02-20,Speaker,Thursday
,Wong-Avery,Skaggs School of Pharmacy HSEC Classrooms 2&3,39.8,,2025-02-20,Social,Thursday
,Warren,Henry Booker Room,98.53,,2025-02-20,Social,Thursday
,Scripps,Vaughn 100,263.99,,2025-02-21,Speaker,Friday
,Price Center,Price Center - Marshall College Room,103.09,,2025-02-21,GBM,Friday
,Price Center,Price Center Red Shoe Room,148.75,,2025-02-21,Social,Friday
,Warren,CSE 1202,772.67,,2025-02-21,Speaker,Friday
,Price Center,Marshall College Room,300.0,,2025-02-21,Social,Friday
,Warren,Henry Booker Room,242.44,,2025-02-22,Competition,Saturday
,Price Center,Price Center Dance Studio,160.0,,2025-02-22,Speaker,Saturday
,Price Center,Price Center Ballroom East,1500.0,,2025-02-22,Religion,Saturday
,Mandeville Auditorium,International Championship of Collegiate A Cappella (@ Mandeville Auditorium at UC San Diego),400.0,,2025-02-22,Competition,Saturday
,Warren,Franklin Antonio Hall IGE Space,246.0,,2025-02-24,Recruitment,Monday
,Mandeville Auditorium,Stage Room + Patio,606.23,,2025-02-24,Speaker,Monday
,Warren,Qualcomm Room,247.83,,2025-02-24,Workshop,Monday
,Price Center,Price Center Warren Rm,501.51,,2025-02-24,Social,Monday
,Revelle,NSB Auditorium,179.34,,2025-02-24,GBM,Monday
Not Found,Price Center,Price Center Red Shoe Room,277.5,,2025-02-25,Workshop,Tuesday
Not Found,Mandeville Auditorium,Student Center Huerta-Vera Cruz,280.0,0.0,2025-02-27,Social,Thursday
