A.S. Advertisement Pass,Location_Type,VENUE,AWARDED,Attendance_Ratio,DATE,Event_Type,Day_of_Week
-,Price Center,Price Center Forum,352.0,2.2443,2024-10-08,GBM,Tuesday
-,Mandeville Auditorium,Student Center Huerta- Vera Cruz,200.0,0.0,2024-10-08,Social,Tuesday
-,Price Center,Price Center Bear Room,350.0,1.3143,2024-10-08,GBM,Tuesday
-,Warren,CSE B225,152.03,1.9733,2024-10-08,Workshop,Tuesday
-,Price Center,Ballroom West A,69.99,0.0,2024-10-08,Recruitment,Tuesday
-,Price Center,Price Center Theater,339.41,0.5303,2024-10-08,Social,Tuesday
-,Price Center,PC West Green Table Room,338.07,1.6269,2024-10-09,GBM,Wednesday
-,Pepper Canyon,SME ASML Room,595.0,1.8151000000000002,2024-10-09,Social,Wednesday
-,Price Center,Price Center Theater,320.3,7.430499999999999,2024-10-09,GBM,Wednesday
-,Price Center,Price Center Bear Room,216.58,1.2005,2024-10-09,GBM,Wednesday
-,Price Center,Price Center ERC Room,115.21,3.1247,2024-10-09,GBM,Wednesday
-,Pepper Canyon,EnVision,349.11,1.8904999999999998,2024-10-09,GBM,Wednesday
-,Price Center,Green Table Room Price Center,170.0,0.8824,2024-10-09,GBM,Wednesday
-,Price Center,Marshall College Room (Price Center),344.01,0.7558,2024-10-09,GBM,Wednesday
-,Mandeville Auditorium,Matthews Quad,336.5,0.0,2024-10-09,Speaker,Wednesday
-,Price Center,Price Center Marshall Room,241.94,1.488,2024-10-09,Social,Wednesday
-,Muir,Fred Kavli Auditorium,600.0,0.7167,2024-10-09,Workshop,Wednesday
-,Warren,Henry Booker Room 2512,227.79,0.4829,2024-10-09,Workshop,Wednesday
-,Revelle,NSB atrium,163.27,1.9599,2024-10-10,GBM,Thursday
-,Price Center,Price Center Forum,590.0,0.0,2024-10-10,GBM,Thursday
-,Price Center,Price Center Governance Chambers,82.88,6.998099999999999,2024-10-10,GBM,Thursday
-,Pepper Canyon,SME ASML Room,595.0,0.5546,2024-10-10,Workshop,Thursday
-,Price Center,PC East Ballroom,1814.99,0.8154,2024-10-10,GBM,Thursday
-,SunGod,Sun God Lawn,350.0,0.0,2024-10-10,Social,Thursday
-,Price Center,Price Center Ballroom West B,589.31,0.0,2024-10-10,GBM,Thursday
-,SunGod,Sun God Lawn,344.8,0.609,2024-10-10,Social,Thursday
-,Price Center,Price Center Bear Room,350.0,0.02859999999999996,2024-10-10,GBM,Thursday
-,Price Center,Price Center Warren College Room,296.31,0.03370000000000006,2024-10-10,Recruitment,Thursday
-,Warren,Powell-Focht Bioengineering Hall,296.31,0.9112,2024-10-10,GBM,Thursday
-,Warren,Powell-Focht Bioengineering Hall Rm 291,199.34,0.4013,2024-10-10,GBM,Thursday
-,Pepper Canyon,raza Centro Space PPCH #104,191.79,0.0,2024-10-10,GBM,Thursday
-,Pepper Canyon,SME 348,291.87,0.7538,2024-10-10,Social,Thursday
-,Warren,Zweifach Library - PFBH,334.03,0.0,2024-10-10,Workshop,Thursday
-,Price Center,Price Center - Green Table Room,123.6,0.9709,2024-10-10,Workshop,Thursday
-,Pepper Canyon,SME ASML Room,600.0,1.7167,2024-10-11,Social,Friday
-,Library Walk,Library Walk (1979 Block),360.0,0.0,2024-10-11,Other,Friday
-,Pepper Canyon,SME 248 ASML Conference Center,600.0,0.016700000000000048,2024-10-11,GBM,Friday
-,Warren,Qualcomm Conference Center,597.75,1.5391,2024-10-11,Social,Friday
-,Warren,CSE B225,313.99,0.5732999999999999,2024-10-11,Workshop,Friday
