NAME_OF_EVENT,DATE,VENUE,AWARDED,A.S. Advertisement Pass,Form Attendance,Attendance Miss,Event_Type,Location_Type
GBM #1 - Pitching for Showcase,1/17/2025,Price Center Green Table Room,$439.44 ,No,25,43.11%,GBM,Price Center
DVC Presents: WINTER 360,1/17/2025,The Stageroom,"$1,500.00 ",Yes,102,32.00%,Workshop,Mandeville Auditorium
TCP Kickoff,1/17/2025,Price Center Red Shoe Room & Bear Room,$438.37 ,Yes,98,-123.56%,GBM,Price Center
Careers in Life Sciences (CILS) Conference,1/17/2025,Kavli Auditorium,"$1,668.75 ",Yes,66,60.45%,GBM,Muir
Lab Expo 2025,1/17/2025,Price Center West Ballroom AB,"$1,606.89 ",Yes,192,-19.49%,Workshop,Price Center
Triton Droids GBM,1/17/2025,Price Center - Forum,$326.96 ,Yes,57,-74.33%,GBM,Price Center
You Wouldn't Hack A Game...,1/17/2025,EBU 1 Qualcomm Room,$193.95 ,Not Found,24,-23.74%,Workshop,Warren
Triton Minecraft Winter GBM,1/17/2025,ERC Room,$591.69 ,No,59,0.29%,GBM,Price Center
ChemE Competition Team Showcase,1/17/2025,SME 248,$179.94 ,Yes,14,22.20%,Recruitment,Pepper Canyon
Dine With Senior,1/18/2025,Bear Room and Red Shoe Room,$201.92 ,Yes,,100.00%,Speaker,Price Center
Division Snow Day Showdown,1/18/2025,Price Center Ballroom West B,"$1,434.75 ",Not Found,116,19.15%,Competition,Price Center
"New Year, New Keebs",1/18/2025,Price Center East Ballroom,$554.33 ,Yes,223,-302.29%,GBM,Price Center
Winter Quarterly Projects Kickoff,1/20/2025,Qualcomm Conference Room,$599.00 ,Not Found,25,58.26%,Recruitment,Warren
Intro to Identity Theft,1/20/2025,SME ASML Room,$193.95 ,No,,100.00%,Workshop,Pepper Canyon
Product Space X ACM: CS Adjacent Careers,1/20/2025,SME ASML Room,$299.55 ,Not Found,,100.00%,Workshop,Pepper Canyon
Mentor/Mentee Succulent Social!,1/21/2025,ASML Room,$231.21 ,No,25,-8.13%,Social,Pepper Canyon
Oncology GBM,1/21/2025,Price Center ERC Room,$93.22 ,Yes,15,-60.91%,GBM,Price Center
