NAME_OF_EVENT,DATE,VENUE,AWARDED,A.S. Advertisement Pass,Form Attendance,Attendance Miss,Event_Type,Location_Type
Sudan Awareness Event,2/21/2025,Marshall College Room,$300.00 ,,,,Social,Price Center
IEEE QP Workathon 2,2/22/2025,Henry Booker Room,$242.44 ,,,,Competition,Warren
Masterclass featuring Jenny Asseff,2/22/2025,Price Center Dance Studio,$160.00 ,,,,Speaker,Price Center
Herencialanda,2/22/2025,Price Center Ballroom East,"$1,500.00 ",,,,Religion,Price Center
Varsity Vocals at International Championship of Collegiate A Cappella (@ Mandeville Auditorium at UC San Diego),2/22/2025,International Championship of Collegiate A Cappella (@ Mandeville Auditorium at UC San Diego),$400.00 ,,,,Competition,Mandeville Auditorium
HealthLink Ideation Program Week 8,2/24/2025,Franklin Antonio Hall IGE Space,$246.00 ,,,,Recruitment,Warren
TEDxUCSanDiego Salon 2025: Golden Hour,2/24/2025,Stage Room + Patio,$606.23 ,,,,Speaker,Mandeville Auditorium
ACM x WIC Make Clay Displays60,2/24/2025,Qualcomm Room,$247.83 ,,,,Workshop,Warren
Brush Pens,2/24/2025,Price Center Warren Rm,$501.51 ,,,,Social,Price Center
Graphite Week 8 GBM,2/24/2025,NSB Auditorium,$179.34 ,,,,GBM,Revelle
CSSA Workshop #4,2/25/2025,Price Center Red Shoe Room,$277.50 ,Not Found,,#REF!,Workshop,Price Center
HSI Banquet,2/27/2025,Student Center Huerta-Vera Cruz,$280.00 ,Not Found,,100.00%,Social,Mandeville Auditorium
