NAME_OF_EVENT,DATE,VENUE,AWARDED,A.S. Advertisement Pass,Estimated Attendance,Form Attendance,PEEF Attendance,Attendance Miss,PEEF Miss,Status,Notes,Event_Type,Location_Type
Week 0 Meet & Greet,9/24/2024,Student Center Courtyard,$587.24 ,No,70,27,85,54.02%,-44.74%,Pending Warning,,Social,Mandeville Auditorium
Welcome Back Dinner,9/24/2024,Multipurpose Room,"$1,752.15 ",No,152,95,183,45.78%,-4.44%,Pending Warning,,Social,Mandeville Auditorium
Chinese Union Fall 2024 Opening Ceremony,9/24/2024,Epstein Family Amphitheater,"$7,931.74 ",No,800,,800,100.00%,-0.86%,Pending Warning,,Social,Pepper Canyon
Welcome Week Event,9/24/2024,Bear Room/Red Shoe Room,$600.00 ,No,80,,0,100.00%,100.00%,Pending Warning,,Social,Price Center
First GBM,9/25/2024,Green Table Room (Price Center),$296.31 ,No,30,,70,100.00%,-136.24%,Pending Warning,,GBM,Price Center
RGC Welcome Week Event 3,9/25/2024,ERC Room,$316.70 ,No,60,,0,100.00%,100.00%,Pending Warning,,Social,Price Center
Welcome Back Lunch,9/25/2024,"ERC Room, Marshall College Room",$590.47 ,No,60,47,62,20.40%,-5.00%,Warned,,Social,Price Center
RGC Welcome Week Event 1,9/26/2024,Huerta-Vera Cruz Room,$539.02 ,-,80,,0,100.00%,100.00%,Good Standing,,Social,Mandeville Auditorium
Week 0 Game Night,9/26/2024,Stage Room,$407.30 ,-,60,63,130,-54.68%,-219.18%,Good Standing,,Social,Revelle
SFL Summerfest,9/26/2024,Town Square and Matthew’s Quad,"$4,499.16 ",-,1200,,0,100.00%,100.00%,Good Standing,,Social,Mandeville Auditorium
UHF/VHF Radio Wave Propagation Workshop,9/26/2024,Price Center - Green Table Room,$123.60 ,-,26,14,12,-13.27%,2.91%,Good Standing,,Workshop,Price Center
Sun God Soccer Tabling,9/26/2024,Outdoor Tabling Library Walk 1974,$91.91 ,-,60,,90,100.00%,-879.22%,Good Standing,,Recruitment,Library Walk
Welcome Ceremony,9/27/2024,Mandeville Auditorium,"$4,500.00 ",-,800,349,1500,22.44%,-233.33%,Good Standing,,Social,Mandeville Auditorium
Week 0 GBM,9/27/2024,NSB Auditorium,$163.18 ,-,60,6,0,63.23%,100.00%,Good Standing,,GBM,Revelle
DVC Presents: SUN GOD AFTER DARK 2024,9/27/2024,Sun God Lawn,"$3,499.90 ",-,351,156,159,55.43%,54.57%,Good Standing,,Social,SunGod
Sun God Soccer Tabling,9/27/2024,Outdoor Tabling Library Walk 1976,$104.90 ,-,80,,90,100.00%,-757.96%,Good Standing,,Recruitment,Library Walk
TSU Rub Nong 2024,9/28/2024,Sun God Lawn,$107.00 ,-,25,,26,100.00%,-142.99%,Good Standing,,Social,SunGod
A2F Presents: New Student Welcome Night,9/29/2024,Price Center East Ballroom,"$3,066.22 ",-,400,192,0,37.38%,100.00%,Good Standing,,Social,Price Center
Fall Kickoff,9/30/2024,PC West Ballroom,"$4,499.66 ",-,750,274,589,39.11%,-30.90%,Good Standing,,Social,Price Center
Circle K International Fall GBM #1,9/30/2024,Forum,$78.63 ,-,80,22,77,-179.79%,-879.27%,Good Standing,,GBM,Price Center
Week 1 General Body Meeting,9/30/2024,Cross Cultural Center - Communidad,$433.16 ,-,60,,60,100.00%,-38.52%,Good Standing,,GBM,Pepper Canyon
RGC Welcome Week Event 4,10/1/2024,Huerta-Vera Cruz Room,$599.84 ,-,80,34,92,43.32%,-53.37%,Good Standing,,Social,Mandeville Auditorium
Renee Long,10/1/2024,Price Center - Forum,$595.00 ,-,98,273,322,-358.82%,-441.18%,Good Standing,,Speaker,Price Center
week 1 gbm,10/1/2024,NSB Auditorium,$163.18 ,-,60,8,0,50.97%,100.00%,Good Standing,,GBM,Revelle
Bit Byte Info Session,10/1/2024,ASML,$600.00 ,-,160,152,149,-153.33%,-148.33%,Good Standing,,Recruitment,Pepper Canyon
EWB Fall 2024 GBM,10/1/2024,Bear Room and Red Shoe Room,$540.91 ,-,60,40,58,26.05%,-7.23%,Good Standing,,GBM,Price Center
First-Year Boba Social,10/1/2024,SunGod Lawn,$213.99 ,No,40,39,56,-82.25%,-161.69%,Warned,,Social,SunGod
Fall 2024 Kickoff GBM,10/1/2024,Marshall College Room,$129.92 ,-,40,95,94,-631.22%,-623.52%,Good Standing,,GBM,Price Center
General Body Meeting,10/1/2024,Vaughan Hall,$132.85 ,-,40,,60,100.00%,-351.64%,Good Standing,,GBM,Scripps
MGC Info Night,10/1/2024,Multipurpose Room,"$1,291.00 ",-,151,83,0,35.71%,100.00%,Good Standing,,Recruitment,Mandeville Auditorium
Resume Review,10/2/2024,Qualcomm Room,$595.00 ,-,60,85,81,-42.86%,-36.13%,Good Standing,,Workshop,Warren
Meet the Board Game Night,10/2/2024,Price Center ERC Room,$41.42 ,-,40,24,25,-479.43%,-503.57%,Good Standing,,Social,Price Center
Star Wars Club Fall Kickoff 2024,10/2/2024,Red Shoe Room,$216.58 ,-,30,47,0,-117.01%,100.00%,Good Standing,,Social,Price Center
PiB Fall GBM,10/2/2024,EnVision,$498.34 ,-,60,90,82,-80.60%,-64.55%,Good Standing,,GBM,Pepper Canyon
First-year/Transfer Mixer,10/2/2024,SME 248,$206.88 ,-,30,38,30,-83.68%,-45.01%,Good Standing,,Social,Pepper Canyon
MSU Fall GBM 1,10/2/2024,Price Center Green Table Room,$343.47 ,-,45,38,39,-10.64%,-13.55%,Good Standing,,GBM,Price Center
FEA Workshop,10/2/2024,Henry Booker Room,$227.08 ,-,30,6,6,73.58%,73.58%,Good Standing,,Workshop,Warren
Welcome home What's my community,10/2/2024,Bear room at price center,$322.98 ,-,30,1,0,96.90%,100.00%,Good Standing,,Social,Price Center
GBM #1 Guest Speaker Event with Dr. Lilly Irani,10/2/2024,Student Services Center - Conference Room 400,$92.13 ,-,15,,0,100.00%,100.00%,Good Standing,,Speaker,Student Services Center
IEEE Fall '24 GBM,10/2/2024,Student Services Center Multipurpose Room,"$1,845.76 ",-,175,176,179,4.65%,3.02%,Good Standing,,GBM,Student Services Center
Fall GBM 2024,10/3/2024,Computer Science & Engineering Building - CSE1202,$600.00 ,-,85,,150,100.00%,-150.00%,Good Standing,,GBM,Warren
Summer Projects Showcase,10/3/2024,SME ASML Room,$595.00 ,-,60,58,77,2.52%,-29.41%,Good Standing,,Recruitment,Pepper Canyon
Anuj Jain,10/3/2024,Price Center Forum,$582.57 ,-,90,64,70,-9.86%,-20.16%,Good Standing,,Speaker,Price Center
HSI GBM #1,10/3/2024,Price Center - Bear Room,$59.70 ,-,60,,46,100.00%,-670.52%,Good Standing,,GBM,Price Center
Tech Dev Workshop 1,10/3/2024,CSE Basement B225,$91.74 ,No,20,26,56,-183.41%,-510.42%,Warned,,Workshop,Warren
SOHIL Week 1 GBM,10/3/2024,raza Centro Space PPCH #104,$191.79 ,-,30,,24,100.00%,-25.14%,Good Standing,,GBM,Pepper Canyon
UBIC Fall GBM,10/3/2024,Fung Auditorium - PFBH,$417.75 ,-,90,107,78,-156.13%,-86.71%,Good Standing,,GBM,Warren
Fall GBM 1,10/3/2024,Governance Chambers,$279.87 ,No,40,62,0,-121.53%,100.00%,Good Standing,,GBM,Price Center
Radio Transmitter Hunt,10/3/2024,Price Center - Red Shoe Room,$275.00 ,-,26,,8,100.00%,70.91%,Good Standing,,Competition,Price Center
Triton-Ware Fall Kickoff 2024,10/4/2024,"Price Center, Red Shoe Room + Bear Room",$319.21 ,-,75,161,120,-404.37%,-275.93%,Good Standing,,Social,Price Center
Internship Hunting 101 Panel,10/4/2024,Qualcomm Room,$595.00 ,-,60,103,110,-73.11%,-84.87%,Good Standing,,Workshop,Warren
Fall GBM 1,10/4/2024,Multi Purpose Room,$120.00 ,-,99,121,120,-908.33%,-900.00%,Good Standing,,GBM,Mandeville Auditorium
SASE Info Session,10/4/2024,SME 248 ASML Conference Center,$600.00 ,-,55,22,21,63.33%,65.00%,Good Standing,,Recruitment,Pepper Canyon
Coffee Social,10/4/2024,Matthews Quad,"$1,487.50 ",No,151,,0,100.00%,100.00%,Warned,,Social,Mandeville Auditorium
TQT Quant Workshop,10/4/2024,CSE B225,$135.35 ,-,25,34,50,-151.20%,-269.41%,Good Standing,,Workshop,Warren
Triton Tails Fur Kickoff,10/4/2024,Price center Bear Room,$184.91 ,-,40,32,50,-73.06%,-170.40%,Good Standing,,Social,Price Center
BMES Fall 2024 GBM #1,10/4/2024,Fung Auditorium,$598.93 ,-,80,45,63,24.87%,-5.19%,Good Standing,,GBM,Warren
TSU Fall GBM,10/4/2024,Green Table Room,$100.00 ,-,25,27,30,-170.00%,-200.00%,Good Standing,,GBM,Price Center
Fall Back Together Social,10/4/2024,SME 347,$275.71 ,-,45,27,26,2.07%,5.70%,Good Standing,,Social,Pepper Canyon
Fall Keyboard Club GBM,10/4/2024,Price Center - The Forum,$600.00 ,-,150,75,80,-25.00%,-33.33%,Good Standing,,GBM,Price Center
UJC General Meeting #1,10/4/2024,Natural Science Building (NSB) 3211,$107.64 ,-,35,,0,100.00%,100.00%,Good Standing,,GBM,Revelle
Pre-Law Coalition Meet the Orgs,10/4/2024,Sun God Lawn,$591.33 ,-,99,116,0,-96.17%,100.00%,Good Standing,,Recruitment,SunGod
BMES Mentor/Mentee Mixer 1,10/4/2024,Price Center Red Shoe Room,$80.00 ,-,25,14,0,-75.00%,100.00%,Good Standing,,Social,Price Center
Project RISHI Info Session #1,10/6/2024,Student Center - Dolores Huerta - Philip Vera Cruz Room,$296.31 ,-,56,30,36,-1.25%,-21.49%,Good Standing,,Recruitment,Mandeville Auditorium
NETS Fall GBM,10/7/2024,SME 248,$328.64 ,-,35,56,49,-70.40%,-49.10%,Good Standing,,GBM,Pepper Canyon
Cyber Kickoff,10/7/2024,Henry Booker Room,$595.00 ,-,60,91,0,-52.94%,100.00%,Good Standing,,Social,Warren
Fall 2024 Week 2 Game Night,10/7/2024,Stage Room & Patio,$597.20 ,-,80,149,170,-149.50%,-184.66%,Good Standing,,Social,Mandeville Auditorium
DS3 Fall GBM,10/8/2024,Student Services Center - Multi Purpose Room,"$1,925.00 ",No,240,265,261,-37.66%,-35.58%,Good Standing,,GBM,Mandeville Auditorium
Software Engineering 101,10/8/2024,SME ASML Room,$595.00 ,-,60,,91,100.00%,-52.94%,Good Standing,,Workshop,Pepper Canyon
Fall 2024 GBM,10/8/2024,Price Center Forum,$352.00 ,-,80,79,73,-124.43%,-107.39%,Good Standing,,GBM,Price Center
Theta Tau Professional Night,10/8/2024,Student Center Huerta- Vera Cruz,$200.00 ,-,80,,0,100.00%,100.00%,Good Standing,,Social,Mandeville Auditorium
MYSA GBM 1 Fall,10/8/2024,Price Center Bear Room,$350.00 ,-,40,46,47,-31.43%,-34.29%,Good Standing,,GBM,Price Center
TQT Financial Workshop,10/8/2024,CSE B225,$152.03 ,-,25,30,31,-97.33%,-103.91%,Good Standing,,Workshop,Warren
PSP Rush FA24 - 'ZA Night,10/8/2024,Ballroom West A,$69.99 ,-,40,,22,100.00%,-214.33%,Good Standing,,Recruitment,Price Center
FamilE Mixer,10/8/2024,Price Center Theater,$339.41 ,-,45,18,16,46.97%,52.86%,Good Standing,,Social,Price Center
Marianne Aquino,10/8/2024,Price Center East Ballroom,$752.54 ,-,0,215,0,-185.70%,100.00%,Good Standing,,Speaker,Price Center
BEI 2024 Fall Quarter GBM,10/9/2024,PC West Green Table Room,$338.07 ,-,30,55,60,-62.69%,-77.48%,Good Standing,,GBM,Price Center
AI Welcome Night,10/9/2024,SME ASML Room,$595.00 ,-,60,108,139,-81.51%,-133.61%,Good Standing,,Social,Pepper Canyon
BSSA Fall GBM,10/9/2024,Price Center Theater,$320.30 ,-,200,238,146,-643.05%,-355.82%,Good Standing,,GBM,Price Center
GBM,10/9/2024,Price Center Bear Room,$216.58 ,-,30,26,24,-20.05%,-10.81%,Good Standing,,GBM,Price Center
Why Pharmacy GBM,10/9/2024,Price Center ERC Room,$115.21 ,-,40,36,37,-212.47%,-221.15%,Good Standing,,GBM,Price Center
PiB Project Committee Week 2,10/9/2024,EnVision,$349.11 ,-,40,66,60,-89.05%,-71.87%,Good Standing,,GBM,Pepper Canyon
SACNAS GBM 1,10/9/2024,Green Table Room Price Center,$170.00 ,-,20,15,12,11.76%,29.41%,Good Standing,,GBM,Price Center
GBM #1,10/9/2024,Marshall College Room (Price Center),$344.01 ,-,35,26,20,24.42%,41.86%,Good Standing,,GBM,Price Center
Jordan R Hughes,10/9/2024,Matthews Quad,$336.50 ,-,50,,0,100.00%,100.00%,Good Standing,,Speaker,Mandeville Auditorium
Board Games and Crochet,10/9/2024,Price Center Marshall Room,$241.94 ,-,35,36,36,-48.80%,-48.80%,Good Standing,,Social,Price Center
Introduction to Bioinformatics,10/9/2024,Fred Kavli Auditorium,$600.00 ,-,90,43,43,28.33%,28.33%,Good Standing,,Workshop,Muir
IEEE Arduino Workshop,10/9/2024,Henry Booker Room 2512,$227.79 ,-,30,11,11,51.71%,51.71%,Good Standing,,Workshop,Warren
week 2 gbm,10/10/2024,NSB atrium,$163.27 ,-,60,32,36,-95.99%,-120.49%,Good Standing,,GBM,Revelle
ISA GBM,10/10/2024,Price Center Forum,$590.00 ,-,60,,0,100.00%,100.00%,Good Standing,,GBM,Price Center
PUSH GBM #1,10/10/2024,Price Center Governance Chambers,$82.88 ,-,35,58,58,-599.81%,-599.81%,Good Standing,,GBM,Price Center
Designing Success: Exploring Roles in UX,10/10/2024,SME ASML Room,$595.00 ,-,60,33,43,44.54%,27.73%,Good Standing,,Workshop,Pepper Canyon
SangamSD Fall GBm,10/10/2024,PC East Ballroom,"$1,814.99 ",-,240,148,248,18.46%,-36.64%,Good Standing,,GBM,Price Center
Nanoengineering Freshman Social,10/10/2024,Sun God Lawn,$350.00 ,-,40,,0,100.00%,100.00%,Good Standing,,Social,SunGod
TQT Launch,10/10/2024,Price Center Ballroom West B,$589.31 ,-,90,,0,100.00%,100.00%,Good Standing,,GBM,Price Center
NETS Freshman Social,10/10/2024,Sun God Lawn,$344.80 ,-,40,21,22,39.10%,36.19%,Good Standing,,Social,SunGod
SASE GBM 1,10/10/2024,Price Center Bear Room,$350.00 ,-,55,1,0,97.14%,100.00%,Good Standing,,GBM,Price Center
Project RISHI Info Session #2,10/10/2024,Price Center Warren College Room,$296.31 ,-,40,1,0,96.63%,100.00%,Good Standing,,Recruitment,Price Center
Project Team First Committee Meeting 2024-25,10/10/2024,Powell-Focht Bioengineering Hall,$296.31 ,-,30,27,30,8.88%,-1.25%,Good Standing,,GBM,Warren
Outreach First Committee Meeting 2024-25,10/10/2024,Powell-Focht Bioengineering Hall Rm 291,$199.34 ,-,25,8,10,59.87%,49.83%,Good Standing,,GBM,Warren
SOHIL's week 2 GB<,10/10/2024,raza Centro Space PPCH #104,$191.79 ,-,30,,20,100.00%,-4.28%,Good Standing,,GBM,Pepper Canyon
NETS Coffee Talk,10/10/2024,SME 348,$291.87 ,-,30,22,26,24.62%,10.92%,Good Standing,,Social,Pepper Canyon
UBIC Workshop #1,10/10/2024,Zweifach Library - PFBH,$334.03 ,-,27,,0,100.00%,100.00%,Good Standing,,Workshop,Warren
Contesting in Amateur Radio,10/10/2024,Price Center - Green Table Room,$123.60 ,-,26,12,12,2.91%,2.91%,Good Standing,,Workshop,Price Center
Bit Byte Speedfriending,10/11/2024,SME ASML Room,$600.00 ,-,160,103,123,-71.67%,-105.00%,Good Standing,,Social,Pepper Canyon
Lebanese Bake Sale,10/11/2024,Library Walk (1979 Block),$360.00 ,-,56,,0,100.00%,100.00%,Good Standing,,Other,Library Walk
SASE GBM 1,10/11/2024,SME 248 ASML Conference Center,$600.00 ,-,55,1,0,98.33%,100.00%,Good Standing,,GBM,Pepper Canyon
IEEE Quarterly Project Kickoff,10/11/2024,Qualcomm Conference Center,$597.75 ,-,75,92,97,-53.91%,-62.28%,Good Standing,,Social,Warren
Analysis Workshop,10/11/2024,CSE B225,$313.99 ,-,25,18,31,42.67%,1.27%,Good Standing,,Workshop,Warren
Device Datasheet Trivia,10/11/2024,Henry Booker Room,$302.78 ,-,30,14,15,53.76%,50.46%,Good Standing,,Competition,Warren
Fall GBM #1,10/11/2024,Price Center Theater,$397.00 ,-,65,57,40,-43.58%,-0.76%,Good Standing,,GBM,Price Center
Fall GBM #1,10/11/2024,Bear Room,$174.65 ,-,35,47,47,-169.11%,-169.11%,Good Standing,,GBM,Price Center
TritonTubers GBM,10/11/2024,Red Shoe Room,$198.37 ,-,30,17,18,14.30%,9.26%,Good Standing,,GBM,Price Center
Triton Minecraft Fall GBM,10/11/2024,Marshall College Room,$471.99 ,-,55,81,80,-71.61%,-69.50%,Good Standing,,GBM,Price Center
Eliane Adnan Azure,10/11/2024,Green Table Room,$326.63 ,-,30,,0,100.00%,100.00%,Good Standing,,Speaker,Price Center
UJC General Meeting #2,10/11/2024,Natural Science Building (NSB) 3211,$120.00 ,-,35,,0,100.00%,100.00%,Good Standing,,GBM,Revelle
CS foreach Fall GBM,10/11/2024,CSE 1202,$225.36 ,-,50,1,29,95.56%,-28.68%,Good Standing,,GBM,Warren
Tau Sigma takes a picnic,10/11/2024,sun god lawn,$190.93 ,-,40,7,0,63.34%,100.00%,Good Standing,,Social,SunGod
School Club Roundup Radio Competition,10/11/2024,Price Center - Green Table Room,$275.00 ,-,26,3,6,89.09%,78.18%,Good Standing,,Competition,Price Center
IEEE Professional Headshots Event,10/11/2024,Warren Mall,$314.82 ,-,45,52,56,-65.17%,-77.88%,Good Standing,,Workshop,Warren
Into the Hoyoverse,10/12/2024,"East Ballroom, ERC Room, Revelle College Room, PC Theater","$3,831.00 ",-,400,405,457,-5.72%,-19.29%,Good Standing,,Social,Price Center
Lab Expo First Committee Meeting 2024-25,10/14/2024,Powell-Focht Bioengineering Hall Rm 291,$270.45 ,-,25,11,10,59.33%,63.02%,Good Standing,,GBM,Warren
Fall Recruitment Marketing Supplies,10/14/2024,Student Center,$190.00 ,-,90,,0,100.00%,100.00%,Good Standing,,Recruitment,Mandeville Auditorium
FA24 Induction Info Session 1,10/14/2024,Price Center Marshall Room,$543.06 ,-,55,57,47,-4.96%,13.45%,Good Standing,,Recruitment,Price Center
GBM 1,10/14/2024,PC Ballroom East,"$1,780.71 ",No,230,75,75,57.88%,57.88%,Warned,,GBM,Price Center
BSSA Mentor-Mentee Mixer,10/14/2024,Price Center Forum,$484.57 ,-,65,55,58,-13.50%,-19.69%,Good Standing,,Social,Price Center
Mentor-Mentee Reveal,10/14/2024,Sungod Lawn,$405.50 ,-,80,43,43,-6.04%,-6.04%,Good Standing,,Social,SunGod
The Accountability Townhall,10/14/2024,PC Theater,$287.59 ,-,90,,0,100.00%,100.00%,Good Standing,,GBM,Price Center
GBM 1,10/15/2024,Marshall College Room,$266.03 ,-,60,1,0,96.24%,100.00%,Good Standing,,GBM,Price Center
Bioengineering Day First Committee Meeting 2024-25,10/15/2024,Powell-Focht Bioengineering Hall Rm 291,$119.35 ,-,25,,10,100.00%,16.21%,Good Standing,,GBM,Warren
Fall GBM #1,10/15/2024,The Forum,$600.00 ,No,120,88,0,-46.67%,100.00%,Warned,,GBM,Price Center
GBM 2 Fall 2024,10/15/2024,Price Center - Ballroom West A,$595.00 ,-,99,140,195,-135.29%,-227.73%,Good Standing,,GBM,Price Center
Game Night Social,10/15/2024,PC West Bear Room,$349.43 ,No,30,38,35,-8.75%,-0.16%,Good Standing,,Social,Price Center
Hack School 1: HTML & CSS,10/15/2024,Qualcomm Room,$595.00 ,-,90,59,82,0.84%,-37.82%,Good Standing,,Workshop,Warren
Research Roundup,10/15/2024,Bonner Hall 2130,$307.09 ,-,40,98,110,-219.12%,-258.20%,Good Standing,,Recruitment,Revelle
Career Fair 101 Workshop,10/15/2024,SME 248,$211.08 ,-,35,19,15,9.99%,28.94%,Good Standing,,Workshop,Pepper Canyon
Birthday of Imam Hasan Askari,10/15/2024,Student Center Huerta- Vera Cruz,$599.09 ,-,56,25,45,58.27%,24.89%,Good Standing,,Religion,Mandeville Auditorium
Music and Memory Fall GBM#1,10/15/2024,Price Center - Eleanor Roosevelt College Room,$351.00 ,-,40,49,0,-39.60%,100.00%,Good Standing,,GBM,Price Center
PPASO Fall GBM 1,10/15/2024,Multipurpose Room,$120.00 ,-,80,153,149,-1175.00%,-1141.67%,Good Standing,,GBM,Mandeville Auditorium
PUSHer/PUSHee Meet & Mingle,10/15/2024,Price Center Warren Room,$284.00 ,-,30,31,29,-9.15%,-2.11%,Good Standing,,Social,Price Center
Translational Medicine Day First Committee Meeting 2024-25,10/16/2024,Powell-Focht Bioengineering Hall Rm 291,$103.55 ,-,25,,10,100.00%,3.43%,Good Standing,,GBM,Warren
Week 3 GBM,10/16/2024,Natural Sciences Building,$599.99 ,-,52,21,9,65.00%,85.00%,Good Standing,,GBM,Revelle
PiB Project Committee Week 3,10/16/2024,EnVision,$349.11 ,-,30,48,60,-37.49%,-71.87%,Good Standing,,GBM,Pepper Canyon
AED Fall GBM 1,10/16/2024,Price Center Theatre,$600.00 ,-,90,80,0,-33.33%,100.00%,Good Standing,,GBM,Price Center
Neural Network Workshop,10/16/2024,Jacobs Hall 2315,$344.80 ,-,30,29,33,15.89%,4.29%,Good Standing,,Workshop,Warren
Jordan R Hughes,10/16/2024,Green Table Room,$86.25 ,Yes,30,32,36,-271.01%,-317.39%,Good Standing,,Speaker,Price Center
Big Little Mixer,10/16/2024,Price Center-Red Shoe Room,$187.38 ,Yes,35,25,26,-33.42%,-38.76%,Good Standing,,Social,Price Center
Resume Building Workshop #1,10/16/2024,Bear Room Price Center,$303.50 ,-,39,30,30,1.15%,1.15%,Good Standing,,Workshop,Price Center
IEEE Resume Workshop,10/16/2024,Henry Booker Room 2512,$277.79 ,-,30,2,30,92.80%,-8.00%,Good Standing,,Workshop,Warren
week 3 gbm,10/17/2024,NSB atrium,$163.18 ,Yes,60,15,16,8.08%,1.95%,Good Standing,,GBM,Revelle
Y.E.S. Recruitment GBM,10/17/2024,Price Center- Green Table Room,$348.01 ,No,30,1,20,97.13%,42.53%,Pending Warning,,GBM,Price Center
Ailana Nurgaliyeva,10/17/2024,Stage Room,$313.50 ,-,700,,0,100.00%,100.00%,Good Standing,,Speaker,Mandeville Auditorium
NETS Big/Little Mixer,10/17/2024,The Forum,$343.80 ,-,40,28,28,18.56%,18.56%,Good Standing,,Social,Price Center
BEI 2024 Fall Quarter Social,10/17/2024,PC West Green Table Room,$338.07 ,-,30,21,21,37.88%,37.88%,Good Standing,,Social,Price Center
DS3 Alumni Panel,10/17/2024,Price Center - Red Shoe Room,$595.00 ,-,55,42,0,29.41%,100.00%,Good Standing,,Speaker,Price Center
Trading Workshop,10/17/2024,CSE B225,$178.05 ,-,25,15,31,15.75%,-74.11%,Good Standing,,Workshop,Warren
Tech Dev Workshop 2,10/17/2024,CSE B225,$97.24 ,No,20,16,0,-64.54%,100.00%,Warned,,Workshop,Warren
Mentorship Panel,10/17/2024,Price Center Theater,$172.40 ,-,35,17,16,1.39%,7.19%,Good Standing,,Speaker,Price Center
SOHIL's Week 3 GBM,10/17/2024,raza Centro Space PPCH #104,$191.79 ,-,30,30,32,-56.42%,-66.85%,Good Standing,,GBM,Pepper Canyon
TSE FA24 All Hands 1,10/17/2024,Student Center - Dolores Huerta - Philip Vera Cruz Room,$560.30 ,-,70,34,50,39.32%,10.76%,Good Standing,,GBM,Mandeville Auditorium
Health Disparities and Social Determinents of Health,10/17/2024,Eleanor Roosevelt college room,$286.40 ,-,30,,0,100.00%,100.00%,Good Standing,,Speaker,Price Center
ChemE Car Fall GBM #1,10/18/2024,ASML Conference Center,$156.24 ,-,25,25,26,-60.01%,-66.41%,Good Standing,,GBM,Pepper Canyon
Speedfriending,10/18/2024,ASML Room,$521.49 ,No,60,15,0,71.24%,100.00%,Warned,,Social,Pepper Canyon
DVC Presents: gRAVEyard,10/18/2024,The Stageroom,"$4,375.00 ",-,0,,0,0.00%,100.00%,Good Standing,,Social,Mandeville Auditorium
TritonTubers Study Session,10/18/2024,Price Center - Bear Room,$350.00 ,-,30,22,23,37.14%,34.29%,Good Standing,,Social,Price Center
Minecraft In-House,10/18/2024,Red Shoe Room,$147.50 ,-,35,31,33,-110.17%,-123.73%,Good Standing,,Social,Price Center
UJC General Body Meeting #3,10/18/2024,Natural Science Building (NSB) 3211,$27.98 ,-,35,,0,100.00%,100.00%,Good Standing,,GBM,Revelle
BMES Mentor/Mentee Mixer 2,10/18/2024,Price Center Warren College Room,$80.00 ,-,25,,0,100.00%,100.00%,Good Standing,,Social,Price Center
Howloween: Artist Alley & Furry Festival!,10/19/2024,Student Services Center: Multipurpose Room & Town Square,"$2,000.00 ",-,351,320,261,-60.00%,-30.50%,Good Standing,,Social,Mandeville Auditorium
Livin’ on the EDGE,10/19/2024,Qualcomm Conference Center (both rooms),$600.00 ,No,150,,0,100.00%,100.00%,Warned,,Social,Warren
NETS Project Showcase,10/21/2024,SME 248,$316.00 ,-,30,22,22,30.38%,30.38%,Good Standing,,Recruitment,Pepper Canyon
Fall 2024 Week 4 Game Night,10/21/2024,Ballroom West A,$597.20 ,-,90,145,147,-142.80%,-146.15%,Good Standing,,Social,Price Center
Dine with a PI,10/22/2024,The Forum,$350.00 ,-,40,60,70,-71.43%,-100.00%,Good Standing,,Social,Price Center
FA24 Induction Info Session 2,10/22/2024,Price Center Marshall Room,$543.06 ,-,55,24,21,55.81%,61.33%,Good Standing,,Recruitment,Price Center
Triton-Ware Showcase 2024,10/22/2024,Computer Science & Engineering Building - CSE1202,$453.12 ,-,75,121,121,-167.04%,-167.04%,Good Standing,,Recruitment,Warren
AIChE Projects Fall Welcome Night,10/22/2024,SME 248,$378.63 ,-,52,46,40,-21.49%,-5.64%,Good Standing,,Recruitment,Pepper Canyon
GBM,10/23/2024,Green Table Room (Price Center),$214.42 ,-,30,41,34,-91.21%,-58.57%,Good Standing,,GBM,Price Center
Study Jam #1,10/23/2024,Price Center ERC Room,$41.42 ,Yes,18,17,18,-310.43%,-334.57%,Good Standing,,Social,Price Center
PiB Project Committee Week 4,10/23/2024,EnVision,$349.11 ,Yes,30,49,60,-40.36%,-71.87%,Good Standing,,GBM,Pepper Canyon
Jordan R Hughes,10/23/2024,Warren College Room,$92.50 ,Yes,40,24,30,-159.46%,-224.32%,Good Standing,,Speaker,Price Center
Education Session #1,10/23/2024,Price Center ERC Room,$258.60 ,Yes,35,33,33,-27.61%,-27.61%,Good Standing,,Workshop,Price Center
GBM 2,10/23/2024,ERC Room,$298.14 ,No,60,20,0,32.92%,100.00%,Pending Warning,,GBM,Price Center
ABSA Social,10/24/2024,Eleanor Roosevelt College Room,$350.00 ,No,110,36,46,-2.86%,-31.43%,Pending Warning,,Social,Price Center
Week 4 gbm,10/24/2024,NSB atrium,$163.18 ,Yes,60,14,14,14.21%,14.21%,Good Standing,,GBM,Revelle
CES All Hands Meeting,10/24/2024,Student Center - Dolores Huerta - Philip Vera Cruz Room,$350.00 ,Yes,55,26,37,25.71%,-5.71%,Good Standing,,GBM,Mandeville Auditorium
Trading Strategies Workshop,10/24/2024,CSE B225,$231.27 ,Yes,25,11,19,52.44%,17.84%,Good Standing,,Workshop,Warren
Tech Dev Workshop 3,10/24/2024,ASML Room,$339.99 ,Not Found,30,17,0,50.00%,100.00%,Good Standing,,Workshop,Pepper Canyon
Rayan Abu-Hantash,10/24/2024,PC Ballroom West B,"$2,280.71 ",No,352,25,50,89.04%,78.08%,Warned,,Speaker,Price Center
SOHIL's Week 4 GBM,10/24/2024,Raza Centro Space PPCH #104,$191.79 ,Not Found,30,37,36,-92.92%,-87.71%,Good Standing,,GBM,Pepper Canyon
