NAME_OF_EVENT,DATE,VENUE,AWARDED,A.S. Advertisement Pass,Estimated Attendance,Form Attendance,PEEF Attendance,Attendance Miss,PEEF Miss,Status,Notes,Event_Type,Location_Type
Mentor/Mentee Speed Dating,11/5/2024,Skaggs School of Pharmacy HSEC Classrooms 2&3,$365.11 ,Yes,37,17,35,53.44%,4.14%,Good Standing,,Social,Wong-Avery
Billy Santoso,11/5/2024,Zweifach Library at PFBH (4th Floor),$296.31 ,Yes,35,30,30,-1.25%,-1.25%,Good Standing,,Speaker,Warren
GBM,11/5/2024,Warren College Room,$386.00 ,-,40,43,46,-11.40%,-19.17%,Good Standing,,GBM,Price Center
UCSF GBM,11/6/2024,Price Center ERC Room,$115.21 ,-,40,17,18,-47.56%,-56.24%,Good Standing,,GBM,Price Center
PiB Project Committee Week 6,11/6/2024,EnVision,$300.00 ,Yes,30,38,50,-26.67%,-66.67%,Good Standing,,GBM,Pepper Canyon
GBM #2: Resume & Cold Email Workshop,11/6/2024,Price Center - Red Shoe Room,$336.89 ,No,40,31,34,7.98%,-0.92%,Good Standing,,GBM,Price Center
Paper Craft Teamwork Workshop,11/7/2024,Eleanor Roosevelt College Room,$250.78 ,Yes,40,20,21,20.25%,16.26%,Good Standing,,Workshop,Price Center
SOHIL Personal Statement Workshop,11/7/2024,Raza Centro Space PPCH #104,$234.59 ,Yes,30,22,21,6.22%,10.48%,Good Standing,,Workshop,Pepper Canyon
Jagger Nelson,11/7/2024,NSB Auditorium,$163.18 ,Yes,50,,0,100.00%,100.00%,Good Standing,,Speaker,Revelle
SCC FA24: GBM 2,11/7/2024,Marshall College Room,$199.47 ,No,30,1,0,94.99%,100.00%,Good Standing,,GBM,Price Center
NETS Big little reveal,11/7/2024,Red shoe room,$261.20 ,Not Found,40,,0,100.00%,100.00%,Good Standing,,Social,Price Center
Musicians’ Club Concert Series: Rose Tinted Glasses,11/8/2024,Price Center West,"$1,290.18 ",-,150,42,0,67.45%,100.00%,Good Standing,,Social,Price Center
Laundry Loads of Love Welcome GBM,11/8/2024,Price Center - Marshall College Room,$348.00 ,No,35,23,0,33.91%,100.00%,Good Standing,,GBM,Price Center
Recruitment Social Night,11/8/2024,The Hump,$209.42 ,No,75,,60,100.00%,-186.51%,Good Standing,,Recruitment,Mandeville Auditorium
Mock Trial @ UC Irvine at UC Irvine Campus,11/9/2024,UC Irvine Campus,"$1,400.00 ",-,0,,0,0.00%,100.00%,Good Standing,,Workshop,Off Campus
UCLA at UCLA's John Wooden Center,11/9/2024,UCLA's John Wooden Center,$700.00 ,-,0,,20,0.00%,71.43%,Good Standing,,Other,Off Campus
ISA Diwali,11/10/2024,Price Center West Ballroom AB,"$2,486.46 ",No,300,,0,100.00%,100.00%,Good Standing,,Religion,Price Center
Chalk Talk with Jamie Burks (Smarr Lab),11/12/2024,Zweifach Library - PFBH,$125.49 ,Yes,35,12,11,4.37%,12.34%,Good Standing,,Speaker,Warren
Music and Memory Fall 24 GBM #3,11/12/2024,Price Center - Eleanor Roosevelt College Room,$300.00 ,No,30,11,12,63.33%,60.00%,Good Standing,,GBM,Price Center
AMSA Fall GBM #4,11/12/2024,Stage Room,$271.53 ,Yes,50,,89,100.00%,-227.77%,Good Standing,,GBM,Mandeville Auditorium
Project Teams Meetup 3,11/12/2024,ASML Room,$400.00 ,-,40,,0,100.00%,100.00%,Good Standing,,GBM,Pepper Canyon
Mentor/Mentee Reveal,11/12/2024,CSE 1202,$307.09 ,-,70,25,0,18.59%,100.00%,Good Standing,,Social,Warren
PPS x BSSA Service Collab,11/13/2024,Price Center ERC Room,$216.58 ,Yes,22,33,32,-52.37%,-47.75%,Good Standing,,Social,Price Center
PiB Project Committee Week 7,11/13/2024,Envision,$300.00 ,Yes,30,40,40,-33.33%,-33.33%,Good Standing,,GBM,Pepper Canyon
Letter Writing Event,11/13/2024,Price Center Green Table Room,$58.50 ,No,25,14,13,-139.32%,-122.22%,Good Standing,,Social,Price Center
