DATE,Location_Type,Event_Type,AWARDED,A.S. Advertisement Pass,Attendance_Ratio,Day_of_Week,log_Attendance_Ratio,log_AWARDED,Month
2024-10-09,Pepper Canyon,Social,595.0,No,1.8151,Wednesday,1.0349977849393777,6.39024066706535,2024-10
2024-10-09,Price Center,GBM,320.3,No,7.430499999999999,Wednesday,2.131856082235898,5.772375266121813,2024-10
2024-10-09,Price Center,GBM,216.58,No,1.2005,Wednesday,0.788684607269009,5.382566598992937,2024-10
2024-10-09,Price Center,GBM,115.21,No,3.1247,Wednesday,1.4169932898691606,4.755398899234782,2024-10
2024-10-09,Pepper Canyon,GBM,349.11,No,1.8905,Wednesday,1.0614294975403937,5.858247390820336,2024-10
2024-10-09,Price Center,GBM,170.0,No,0.8824,Wednesday,0.6325475584310156,5.14166355650266,2024-10
2024-10-09,Price Center,GBM,344.01,No,0.7558,Wednesday,0.5629245935099714,5.843573402118534,2024-10
2024-10-09,Price Center,Social,241.94,No,1.488,Wednesday,0.911479174876933,5.492814499272125,2024-10
2024-10-09,Muir,Workshop,600.0,No,0.7167,Wednesday,0.5404038432947464,6.398594934535208,2024-10
2024-10-09,Warren,Workshop,227.79,No,0.4829,Wednesday,0.39399962999888627,5.432804552256789,2024-10
2024-10-10,Revelle,GBM,163.27,No,1.9599,Thursday,1.0851554839815003,5.101511415553109,2024-10
2024-10-10,Price Center,GBM,82.88,No,6.998099999999999,Thursday,2.0792040134722445,4.429387206033719,2024-10
2024-10-10,Pepper Canyon,Workshop,595.0,No,0.5546,Thursday,0.4412182778139822,6.39024066706535,2024-10
2024-10-10,Price Center,GBM,1814.99,No,0.8154,Thursday,0.5963058291103898,7.504386052538147,2024-10
2024-10-10,SunGod,Social,344.8,No,0.609,Thursday,0.47561286801024616,5.84586057324919,2024-10
2024-10-10,Price Center,GBM,350.0,No,0.0285999999999999,Thursday,0.028198654358678677,5.860786223465865,2024-10
